,open,high,low,close,adjclose,volume,ticker
2021-01-04,116.9000015258789,118.0999984741211,116.5999984741211,117.0999984741211,102.85704803466797,105600,ANA.MC
2021-01-05,117.30000305175781,118.0999984741211,116.0,116.5,102.33003234863281,79442,ANA.MC
2021-01-06,117.30000305175781,119.5999984741211,116.30000305175781,119.5,104.96514129638672,162252,ANA.MC
2021-01-07,120.0,126.5,119.80000305175781,126.0999984741211,110.76237487792969,174305,ANA.MC
2021-01-08,127.69999694824219,128.8000030517578,126.69999694824219,127.9000015258789,112.34345245361328,158751,ANA.MC
2021-01-11,127.0999984741211,127.5999984741211,124.19999694824219,124.5999984741211,109.44482421875,194092,ANA.MC
2021-01-12,125.69999694824219,127.0,124.69999694824219,125.30000305175781,110.05968475341797,139089,ANA.MC
2021-01-13,122.9000015258789,126.69999694824219,121.80000305175781,126.69999694824219,111.28939819335938,130530,ANA.MC
2021-01-14,127.0,127.69999694824219,125.9000015258789,126.9000015258789,111.4650650024414,79797,ANA.MC
2021-01-15,126.5999984741211,126.9000015258789,124.5999984741211,125.69999694824219,110.4110336303711,99955,ANA.MC
2021-01-18,125.30000305175781,127.5,123.69999694824219,127.0999984741211,111.64073944091797,71211,ANA.MC
2021-01-19,127.69999694824219,129.5,126.19999694824219,128.89999389648438,113.22180938720703,221858,ANA.MC
2021-01-20,129.39999389648438,129.8000030517578,127.5,128.6999969482422,113.04613494873047,60446,ANA.MC
2021-01-21,129.0,130.6999969482422,128.8000030517578,128.8000030517578,113.13397979736328,100881,ANA.MC
2021-01-22,128.6999969482422,129.39999389648438,127.0999984741211,128.8000030517578,113.13397979736328,83435,ANA.MC
2021-01-25,129.5,130.5,126.9000015258789,129.0,113.30965423583984,90677,ANA.MC
2021-01-26,129.6999969482422,134.0,129.5,132.60000610351562,116.47179412841797,182449,ANA.MC
2021-01-27,133.10000610351562,133.10000610351562,120.69999694824219,123.0,108.03943634033203,225709,ANA.MC
2021-01-28,121.80000305175781,127.5999984741211,117.5,126.5999984741211,111.20156860351562,171797,ANA.MC
2021-01-29,125.19999694824219,125.9000015258789,123.4000015258789,123.69999694824219,108.65428924560547,94555,ANA.MC
2021-02-01,125.0999984741211,126.0999984741211,124.0,125.0999984741211,109.88401794433594,78317,ANA.MC
2021-02-02,125.80000305175781,127.69999694824219,125.5999984741211,126.5,111.11373138427734,88013,ANA.MC
2021-02-03,126.69999694824219,128.3000030517578,126.69999694824219,127.5999984741211,112.0799331665039,69926,ANA.MC
2021-02-04,127.19999694824219,127.69999694824219,126.4000015258789,127.0,111.55291748046875,82598,ANA.MC
2021-02-05,128.0,129.1999969482422,126.5,129.0,113.30965423583984,85439,ANA.MC
2021-02-08,129.60000610351562,131.60000610351562,129.3000030517578,130.0,114.18802642822266,81666,ANA.MC
2021-02-09,129.6999969482422,129.6999969482422,124.80000305175781,125.5999984741211,110.32318878173828,92557,ANA.MC
2021-02-10,125.69999694824219,126.5,123.4000015258789,124.0999984741211,109.00563049316406,79429,ANA.MC
2021-02-11,124.19999694824219,125.80000305175781,124.0999984741211,124.80000305175781,109.62049865722656,74206,ANA.MC
2021-02-12,124.5999984741211,124.69999694824219,121.9000015258789,122.9000015258789,107.95159912109375,79292,ANA.MC
2021-02-15,123.4000015258789,124.5,123.19999694824219,123.69999694824219,108.65428924560547,58613,ANA.MC
2021-02-16,124.80000305175781,128.5,123.9000015258789,125.19999694824219,109.97184753417969,119909,ANA.MC
2021-02-17,125.69999694824219,125.69999694824219,124.0,124.19999694824219,109.0934829711914,82277,ANA.MC
2021-02-18,131.5,139.39999389648438,130.60000610351562,138.39999389648438,121.56631469726562,312959,ANA.MC
2021-02-19,137.1999969482422,147.10000610351562,137.1999969482422,144.1999969482422,126.66085815429688,337095,ANA.MC
2021-02-22,143.8000030517578,143.8000030517578,135.3000030517578,136.5,119.89741516113281,144076,ANA.MC
2021-02-23,136.8000030517578,137.10000610351562,127.5999984741211,133.60000610351562,117.35015869140625,188010,ANA.MC
2021-02-24,134.3000030517578,136.89999389648438,133.39999389648438,134.39999389648438,118.0528335571289,104744,ANA.MC
2021-02-25,135.1999969482422,136.3000030517578,133.8000030517578,134.1999969482422,117.8771743774414,87258,ANA.MC
2021-02-26,133.0,134.89999389648438,131.6999969482422,133.39999389648438,117.17446899414062,101400,ANA.MC
2021-03-01,134.60000610351562,136.3000030517578,134.10000610351562,135.0,118.57986450195312,71846,ANA.MC
2021-03-02,134.60000610351562,135.3000030517578,132.6999969482422,133.10000610351562,116.91097259521484,71918,ANA.MC
2021-03-03,133.6999969482422,133.8000030517578,126.5,127.0999984741211,111.64073944091797,164454,ANA.MC
2021-03-04,127.4000015258789,128.39999389648438,124.9000015258789,126.19999694824219,110.8502197265625,142948,ANA.MC
2021-03-05,126.0,128.10000610351562,125.0999984741211,126.0,110.6745376586914,116842,ANA.MC
2021-03-08,127.5,127.5,122.80000305175781,125.0,109.79617309570312,200493,ANA.MC
2021-03-09,125.5,131.60000610351562,125.0999984741211,129.39999389648438,113.6609878540039,255876,ANA.MC
2021-03-10,129.3000030517578,129.6999969482422,128.1999969482422,129.39999389648438,113.6609878540039,70789,ANA.MC
2021-03-11,128.89999389648438,134.60000610351562,128.8000030517578,132.5,116.38394927978516,109335,ANA.MC
2021-03-12,132.3000030517578,132.6999969482422,129.8000030517578,131.10000610351562,115.15422821044922,55511,ANA.MC
2021-03-15,131.8000030517578,139.5,131.8000030517578,136.3000030517578,119.72174835205078,186875,ANA.MC
2021-03-16,137.0,137.39999389648438,135.3000030517578,136.0,119.4582290649414,89495,ANA.MC
2021-03-17,137.0,137.8000030517578,134.10000610351562,135.3000030517578,118.8433837890625,98423,ANA.MC
2021-03-18,135.8000030517578,136.5,133.10000610351562,134.1999969482422,117.8771743774414,75557,ANA.MC
2021-03-19,133.8000030517578,135.39999389648438,133.0,135.1999969482422,118.75553894042969,132246,ANA.MC
2021-03-22,135.0,137.10000610351562,133.1999969482422,137.10000610351562,120.42444610595703,97343,ANA.MC
2021-03-23,136.39999389648438,138.89999389648438,134.60000610351562,138.0,121.21498107910156,118561,ANA.MC
2021-03-24,136.8000030517578,138.3000030517578,136.0,138.1999969482422,121.3906478881836,176248,ANA.MC
2021-03-25,138.0,140.8000030517578,137.5,139.1999969482422,122.26901245117188,147736,ANA.MC
2021-03-26,139.60000610351562,141.39999389648438,138.5,140.6999969482422,123.58656311035156,125694,ANA.MC
2021-03-29,140.60000610351562,141.39999389648438,138.6999969482422,140.8000030517578,123.67440795898438,154630,ANA.MC
2021-03-30,140.8000030517578,143.1999969482422,139.60000610351562,142.39999389648438,125.07979583740234,134488,ANA.MC
2021-03-31,142.89999389648438,145.8000030517578,141.89999389648438,142.89999389648438,125.51898193359375,115726,ANA.MC
2021-04-01,142.39999389648438,144.1999969482422,141.89999389648438,144.10000610351562,126.57303619384766,98970,ANA.MC
2021-04-06,138.3000030517578,139.39999389648438,133.89999389648438,137.10000610351562,120.42444610595703,191906,ANA.MC
2021-04-07,138.0,140.1999969482422,136.8000030517578,138.1999969482422,121.3906478881836,148224,ANA.MC
2021-04-08,138.60000610351562,140.8000030517578,137.89999389648438,140.8000030517578,123.67440795898438,93028,ANA.MC
2021-04-09,141.10000610351562,141.1999969482422,139.39999389648438,140.0,122.97172546386719,65199,ANA.MC
2021-04-12,139.89999389648438,142.39999389648438,139.89999389648438,141.10000610351562,123.93792724609375,64361,ANA.MC
2021-04-13,141.1999969482422,141.89999389648438,138.89999389648438,140.6999969482422,123.58656311035156,64205,ANA.MC
2021-04-14,141.0,141.1999969482422,137.8000030517578,138.39999389648438,121.56631469726562,70280,ANA.MC
2021-04-15,138.8000030517578,139.8000030517578,138.10000610351562,138.60000610351562,121.74200439453125,50132,ANA.MC
2021-04-16,138.6999969482422,141.0,138.3000030517578,140.5,123.41089630126953,77828,ANA.MC
2021-04-19,139.10000610351562,141.39999389648438,139.10000610351562,140.1999969482422,123.14739227294922,230655,ANA.MC
2021-04-20,139.8000030517578,140.39999389648438,138.39999389648438,139.8000030517578,122.79602813720703,72238,ANA.MC
2021-04-21,140.60000610351562,141.6999969482422,138.6999969482422,138.6999969482422,121.829833984375,65177,ANA.MC
2021-04-22,139.0,143.6999969482422,138.8000030517578,143.0,125.60681915283203,88245,ANA.MC
2021-04-23,142.60000610351562,144.60000610351562,142.39999389648438,144.60000610351562,127.01222229003906,80452,ANA.MC
2021-04-26,144.39999389648438,145.5,143.6999969482422,144.5,126.92437744140625,58292,ANA.MC
2021-04-27,142.39999389648438,146.1999969482422,142.39999389648438,146.1999969482422,128.4176025390625,133084,ANA.MC
