,open,high,low,close,adjclose,volume,ticker
2021-01-04,24.170000076293945,24.25,23.8799991607666,24.09000015258789,23.695877075195312,664054,GRF.MC
2021-01-05,23.979999542236328,24.149999618530273,23.639999389648438,24.079999923706055,23.6860408782959,539326,GRF.MC
2021-01-06,24.079999923706055,24.190000534057617,23.739999771118164,23.940000534057617,23.548330307006836,879156,GRF.MC
2021-01-07,24.1299991607666,24.209999084472656,23.790000915527344,23.829999923706055,23.44013023376465,819811,GRF.MC
2021-01-08,23.829999923706055,24.09000015258789,23.540000915527344,23.81999969482422,23.430294036865234,648883,GRF.MC
2021-01-11,23.829999923706055,23.940000534057617,23.610000610351562,23.6299991607666,23.24340057373047,754557,GRF.MC
2021-01-12,23.729999542236328,24.170000076293945,23.639999389648438,23.93000030517578,23.538494110107422,760826,GRF.MC
2021-01-13,24.020000457763672,24.15999984741211,23.760000228881836,24.15999984741211,23.76473045349121,772727,GRF.MC
2021-01-14,24.200000762939453,24.200000762939453,23.81999969482422,24.1299991607666,23.73522186279297,552208,GRF.MC
2021-01-15,23.920000076293945,24.170000076293945,23.889999389648438,24.1299991607666,23.73522186279297,1506006,GRF.MC
2021-01-18,24.1299991607666,24.829999923706055,24.049999237060547,24.6200008392334,24.217206954956055,1435726,GRF.MC
2021-01-19,25.18000030517578,25.940000534057617,25.010000228881836,25.530000686645508,25.11231803894043,1832703,GRF.MC
2021-01-20,25.530000686645508,25.75,25.149999618530273,25.3700008392334,24.95493507385254,879703,GRF.MC
2021-01-21,25.399999618530273,25.799999237060547,25.350000381469727,25.520000457763672,25.102481842041016,849011,GRF.MC
2021-01-22,25.479999542236328,25.479999542236328,24.530000686645508,24.600000381469727,24.197532653808594,750994,GRF.MC
2021-01-25,24.780000686645508,24.81999969482422,24.450000762939453,24.6200008392334,24.217206954956055,442529,GRF.MC
2021-01-26,24.479999542236328,24.709999084472656,24.309999465942383,24.489999771118164,24.089332580566406,481337,GRF.MC
2021-01-27,24.459999084472656,26.06999969482422,24.309999465942383,25.280000686645508,24.86640739440918,1316886,GRF.MC
2021-01-28,25.1299991607666,25.190000534057617,24.56999969482422,24.84000015258789,24.43360710144043,981942,GRF.MC
2021-01-29,24.520000457763672,24.56999969482422,24.18000030517578,24.299999237060547,23.90243911743164,733258,GRF.MC
2021-02-01,24.31999969482422,24.360000610351562,23.649999618530273,23.649999618530273,23.26307487487793,1089061,GRF.MC
2021-02-02,23.739999771118164,23.989999771118164,23.510000228881836,23.559999465942383,23.17454719543457,1201590,GRF.MC
2021-02-03,23.6299991607666,23.809999465942383,23.420000076293945,23.420000076293945,23.03683853149414,1060606,GRF.MC
2021-02-04,23.450000762939453,23.760000228881836,23.420000076293945,23.649999618530273,23.26307487487793,925993,GRF.MC
2021-02-05,23.700000762939453,23.959999084472656,23.610000610351562,23.6200008392334,23.233566284179688,617528,GRF.MC
2021-02-08,23.670000076293945,23.84000015258789,23.200000762939453,23.309999465942383,22.92863655090332,720269,GRF.MC
2021-02-09,23.40999984741211,23.59000015258789,23.200000762939453,23.350000381469727,22.96798324584961,611551,GRF.MC
2021-02-10,23.40999984741211,23.43000030517578,23.010000228881836,23.040000915527344,22.663055419921875,837658,GRF.MC
2021-02-11,23.049999237060547,23.25,22.579999923706055,22.719999313354492,22.348289489746094,994868,GRF.MC
2021-02-12,22.790000915527344,23.010000228881836,22.549999237060547,22.739999771118164,22.367963790893555,634876,GRF.MC
2021-02-15,22.829999923706055,22.860000610351562,22.600000381469727,22.709999084472656,22.33845329284668,595077,GRF.MC
2021-02-16,22.780000686645508,23.020000457763672,22.639999389648438,22.75,22.37779998779297,521458,GRF.MC
2021-02-17,22.75,22.829999923706055,22.579999923706055,22.649999618530273,22.279436111450195,594903,GRF.MC
2021-02-18,22.6200008392334,22.739999771118164,21.940000534057617,22.260000228881836,21.895816802978516,918949,GRF.MC
2021-02-19,22.15999984741211,22.309999465942383,21.90999984741211,22.020000457763672,21.65974235534668,890451,GRF.MC
2021-02-22,22.049999237060547,22.15999984741211,21.719999313354492,21.719999313354492,21.36465072631836,765589,GRF.MC
2021-02-23,21.719999313354492,21.8799991607666,21.40999984741211,21.639999389648438,21.285959243774414,990656,GRF.MC
2021-02-24,21.68000030517578,21.829999923706055,21.309999465942383,21.489999771118164,21.13841438293457,829451,GRF.MC
2021-02-25,21.43000030517578,22.209999084472656,21.420000076293945,21.920000076293945,21.561378479003906,1536784,GRF.MC
2021-02-26,21.5,21.700000762939453,20.270000457763672,20.81999969482422,20.4793758392334,2767351,GRF.MC
2021-03-01,20.920000076293945,21.6200008392334,20.799999237060547,21.43000030517578,21.079395294189453,1317779,GRF.MC
2021-03-02,21.5,21.780000686645508,21.350000381469727,21.40999984741211,21.059722900390625,996407,GRF.MC
2021-03-03,21.56999969482422,21.59000015258789,20.700000762939453,20.889999389648438,20.548229217529297,1246601,GRF.MC
2021-03-04,20.899999618530273,20.899999618530273,20.440000534057617,20.610000610351562,20.272811889648438,1536504,GRF.MC
2021-03-05,20.540000915527344,20.649999618530273,19.875,19.920000076293945,19.594099044799805,1399850,GRF.MC
2021-03-08,19.9950008392334,20.049999237060547,19.360000610351562,19.415000915527344,19.097362518310547,2180771,GRF.MC
2021-03-09,19.260000228881836,20.200000762939453,19.18000030517578,19.684999465942383,19.362943649291992,2265574,GRF.MC
2021-03-10,19.68000030517578,19.68000030517578,19.190000534057617,19.28499984741211,18.9694881439209,2238433,GRF.MC
2021-03-11,19.59000015258789,20.610000610351562,19.399999618530273,20.420000076293945,20.085920333862305,2053482,GRF.MC
2021-03-12,21.170000076293945,21.299999237060547,20.479999542236328,20.489999771118164,20.154773712158203,2178928,GRF.MC
2021-03-15,20.829999923706055,21.239999771118164,20.5,21.020000457763672,20.676103591918945,1566147,GRF.MC
2021-03-16,21.190000534057617,21.719999313354492,20.989999771118164,21.579999923706055,21.22694206237793,1576490,GRF.MC
2021-03-17,21.639999389648438,21.780000686645508,21.350000381469727,21.780000686645508,21.423669815063477,1073608,GRF.MC
2021-03-18,21.989999771118164,21.989999771118164,21.489999771118164,21.68000030517578,21.325305938720703,1310722,GRF.MC
2021-03-19,21.530000686645508,21.920000076293945,21.260000228881836,21.920000076293945,21.561378479003906,1251540,GRF.MC
2021-03-22,21.940000534057617,21.979999542236328,21.549999237060547,21.700000762939453,21.34497833251953,907837,GRF.MC
2021-03-23,22.0,22.399999618530273,21.700000762939453,22.25,21.8859806060791,1063297,GRF.MC
2021-03-24,22.270000457763672,22.450000762939453,22.020000457763672,22.229999542236328,21.86630630493164,953855,GRF.MC
2021-03-25,22.170000076293945,22.65999984741211,22.030000686645508,22.579999923706055,22.210580825805664,957472,GRF.MC
2021-03-26,22.65999984741211,23.149999618530273,22.5,22.850000381469727,22.476163864135742,1193276,GRF.MC
2021-03-29,22.8700008392334,23.139999389648438,22.670000076293945,22.8700008392334,22.49583625793457,973726,GRF.MC
2021-03-30,23.0,23.0,22.420000076293945,22.469999313354492,22.102378845214844,878381,GRF.MC
2021-03-31,22.450000762939453,22.690000534057617,22.239999771118164,22.329999923706055,21.964670181274414,980558,GRF.MC
2021-04-01,22.479999542236328,22.950000762939453,22.440000534057617,22.600000381469727,22.230253219604492,848359,GRF.MC
2021-04-06,22.239999771118164,22.540000915527344,21.5,22.260000228881836,21.895816802978516,1088184,GRF.MC
