,open,high,low,close,adjclose,volume,ticker
2021-01-04,16.94499969482422,17.18000030517578,16.860000610351562,17.05500030517578,13.421842575073242,1529230,RED.MC
2021-01-05,16.780000686645508,16.780000686645508,16.375,16.389999389648438,13.108094215393066,2686455,RED.MC
2021-01-06,16.489999771118164,16.559999465942383,16.385000228881836,16.4950008392334,13.192071914672852,1749110,RED.MC
2021-01-07,16.649999618530273,16.665000915527344,16.329999923706055,16.350000381469727,13.076105117797852,3368672,RED.MC
2021-01-08,16.459999084472656,16.510000228881836,16.375,16.450000762939453,13.156082153320312,1302400,RED.MC
2021-01-11,16.200000762939453,16.40999984741211,16.170000076293945,16.274999618530273,13.016122817993164,1619860,RED.MC
2021-01-12,16.344999313354492,16.385000228881836,15.890000343322754,15.890000343322754,12.70821475982666,4361777,RED.MC
2021-01-13,15.899999618530273,16.325000762939453,15.859999656677246,16.325000762939453,13.056110382080078,2248666,RED.MC
2021-01-14,16.354999542236328,16.364999771118164,16.200000762939453,16.30500030517578,13.04011344909668,4515846,RED.MC
2021-01-15,16.274999618530273,16.295000076293945,16.09000015258789,16.295000076293945,13.03211784362793,4527088,RED.MC
2021-01-18,16.270000457763672,16.290000915527344,16.09000015258789,16.09000015258789,12.868165016174316,782700,RED.MC
2021-01-19,16.100000381469727,16.15999984741211,15.970000267028809,15.970000267028809,12.772194862365723,1327433,RED.MC
2021-01-20,16.0049991607666,16.020000457763672,15.734999656677246,15.805000305175781,12.640233993530273,1561213,RED.MC
2021-01-21,15.829999923706055,15.920000076293945,15.755000114440918,15.819999694824219,12.652231216430664,1113048,RED.MC
2021-01-22,15.75,15.895000457763672,15.635000228881836,15.895000457763672,12.712213516235352,1221063,RED.MC
2021-01-25,15.899999618530273,16.024999618530273,15.664999961853027,16.0,12.796186447143555,1150619,RED.MC
2021-01-26,16.03499984741211,16.149999618530273,15.925000190734863,15.96500015258789,12.768197059631348,1726413,RED.MC
2021-01-27,15.989999771118164,16.665000915527344,15.949999809265137,16.190000534057617,12.948142051696777,2047521,RED.MC
2021-01-28,16.020000457763672,16.200000762939453,15.904999732971191,16.110000610351562,12.884161949157715,1510126,RED.MC
2021-01-29,16.020000457763672,16.020000457763672,15.600000381469727,15.65999984741211,12.52426815032959,1960719,RED.MC
2021-02-01,15.720000267028809,15.975000381469727,15.710000038146973,15.859999656677246,12.684219360351562,1402741,RED.MC
2021-02-02,15.859999656677246,15.880000114440918,15.635000228881836,15.744999885559082,12.59224796295166,2237095,RED.MC
2021-02-03,15.75,15.970000267028809,15.710000038146973,15.859999656677246,12.684219360351562,1281485,RED.MC
2021-02-04,15.8100004196167,15.850000381469727,15.430000305175781,15.454999923706055,12.360318183898926,1918045,RED.MC
2021-02-05,15.494999885559082,15.510000228881836,15.260000228881836,15.324999809265137,12.25634765625,1797942,RED.MC
2021-02-08,15.234999656677246,15.375,15.095000267028809,15.100000381469727,12.076403617858887,1552376,RED.MC
2021-02-09,15.100000381469727,15.100000381469727,14.960000038146973,15.055000305175781,12.040413856506348,1366723,RED.MC
2021-02-10,15.050000190734863,15.204999923706055,14.975000381469727,14.975000381469727,11.976432800292969,1294792,RED.MC
2021-02-11,14.920000076293945,14.9399995803833,14.770000457763672,14.8100004196167,11.84447193145752,1151359,RED.MC
2021-02-12,14.819999694824219,15.050000190734863,14.725000381469727,14.96500015258789,11.96843433380127,1547054,RED.MC
2021-02-15,15.024999618530273,15.039999961853027,14.770000457763672,15.0,11.996426582336426,1482510,RED.MC
2021-02-16,15.055000305175781,15.0649995803833,14.710000038146973,14.710000038146973,11.764495849609375,1299880,RED.MC
2021-02-17,14.699999809265137,14.90999984741211,14.5649995803833,14.90999984741211,11.924448013305664,1868524,RED.MC
2021-02-18,14.954999923706055,15.029999732971191,14.739999771118164,14.789999961853027,11.828475952148438,1354894,RED.MC
2021-02-19,14.760000228881836,14.920000076293945,14.609999656677246,14.819999694824219,11.852468490600586,1929645,RED.MC
